year,month,fid,DN,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance
1996,02.csv,1,1,21314.84901,259.9371831,261.9755096,60.83464798,130.048996,354.6409912,224.5919952,130.048996,130.048996,82,
1996,03.csv,1,1,12236.93898,149.2309631,144.762001,49.06426856,62.77099991,257.6489868,194.8779869,62.77099991,62.77099991,82,
1996,04.csv,1,1,9312.24604,113.5639761,110.4799995,26.61711017,66.80699921,191.0310059,124.2240067,66.80699921,66.80699921,82,
1996,05.csv,1,1,11277.52599,137.5308047,133.3899994,30.86363628,86.125,221.2640076,135.1390076,86.125,86.125,82,
1996,06.csv,1,1,1160.940004,14.15780493,15.47949982,3.31782729,4.709000111,19.07500076,14.36600065,4.709000111,16.28700066,81,
1996,07.csv,1,1,21.36200007,0.260512196,0.345499992,0.210131914,0,0.721000016,0.721000016,0.002,0,58,
1996,08.csv,1,1,49.24600032,0.60056098,0.0085,1.571865772,0,11.53800011,11.53800011,0.001,0,43,
1997,1,1,1,38402.98018,468.3290266,466.2290039,144.015859,242.3099976,725.7310181,483.4210205,242.3099976,242.3099976,82,20740.56763
1997,10,1,1,5026.860008,61.30317083,62.77799988,10.29135951,26.2859993,75.61799622,49.33199692,26.2859993,26.2859993,82,105.9120805
1997,11,1,1,11260.97495,137.3289628,138.9899979,13.33065842,99.83799744,159.9669952,60.1289978,99.83799744,99.83799744,82,177.7064539
1997,12,1,1,7814.32,95.29658536,93.00749969,19.16594633,63.17300034,136.5059967,73.33299637,63.17300034,63.17300034,82,367.3334987
1997,2,1,1,2379.174002,29.01431709,30.81750011,5.838802647,10.71100044,35.18999863,24.47899818,10.71100044,10.71100044,82,34.09161635
1997,3,1,1,1419.151999,17.30673169,16.81599998,7.553929982,5.09800005,35.76399994,30.66599989,5.09800005,5.09800005,82,57.06185818
1997,4,1,1,3136.731005,38.25281713,38.63899994,7.838095902,17.13999939,54.26699829,37.1269989,17.13999939,17.13999939,82,61.43574736
1997,5,1,1,1559.344001,19.01639026,20.98200035,10.83839581,3.799999952,45.17900085,41.3790009,3.799999952,3.799999952,82,117.4708238
1997,6,1,1,2773.977002,33.82898783,28.19150066,18.52934395,11.78899956,62.89799881,51.10899925,11.78899956,11.78899956,82,343.3365871
1997,7,1,1,95.99000059,1.170609763,0.222999997,1.756727134,0,8.588999748,8.588999748,0.005,0,50,3.086090222
1997,8,1,1,538.6699996,6.569146337,6.95449996,1.897524047,2.382999897,9.916999817,7.53399992,2.382999897,4.102000237,80,3.600597508
1997,9,1,1,307.0680014,3.744731725,3.519999981,1.892266422,0.035,8.574000359,8.539000358,0.035,0.035,82,3.580672213
1996,09.csv,1,1,544.4470021,6.639597587,6.193500042,4.162658385,0,17.18799973,17.18799973,0.147,0,81,
1998,01.csv,1,1,29785.00995,363.2318286,366.8939972,70.72167071,205.7409973,506.8410034,301.1000061,205.7409973,205.7409973,82,
1998,010.csv,1,1,1703.439003,20.77364638,20.18500042,1.906024503,18.61599922,29.43600082,10.8200016,18.61599922,18.61599922,82,
1998,011.csv,1,1,12104.28509,147.6132328,148.9044952,29.27108755,89.5719986,205.7400055,116.1680069,89.5719986,89.5719986,82,
1998,012.csv,1,1,8374.803036,102.1317443,102.9309998,23.36504854,48.60300064,150.7120056,102.109005,48.60300064,48.60300064,82,
1998,02.csv,1,1,33561.23001,409.2832928,418.042511,60.00855173,288.5599976,507.4609985,218.901001,288.5599976,288.5599976,82,
1998,03.csv,1,1,13700.49995,167.0792677,169.0514984,32.74167099,88.63600159,244.6799927,156.0439911,88.63600159,88.63600159,82,
