,year,month,min,max,mean,median,std
0,1917,1,43.88399887,126.6439972,79.33599988,78.01250076,22.94559589
0,1917,2,135.0370026,379.0740051,274.6569506,278.6529999,68.1869394
0,1917,3,31.75900078,136.5399933,81.52329275,83.3484993,27.48862713
0,1917,4,30.18799973,138.4519958,72.97958544,69.5739975,25.40272227
0,1917,5,7.156000137,40.42300034,20.22762191,18.91649914,10.72988022
0,1917,6,0,0,0,0,0
0,1917,7,0,25.80599976,1.779731733,0,4.719555226
0,1917,8,0,6.638999939,0.101878048,0,0.746791544
0,1917,9,4.599999905,6.090000153,5.319158519,5.274499893,0.377723214
0,1917,10,0,0,0,0,0
0,1917,11,17.64599991,48.9129982,32.21992679,31.10949993,7.600523709
0,1917,12,28.22500038,104.4199982,67.11097559,66.22100067,19.6391246
0,1918,1,25.39900017,50.5340004,36.33404878,35.82799911,5.835958977
0,1918,2,133.8910065,376.7409973,282.2726459,288,66.57823875
0,1918,3,143.4900055,461.2539978,299.9487312,311.6430054,83.74806493
0,1918,4,24.94400024,72.64199829,43.71836579,44.67150116,10.7697007
0,1918,5,5.263999939,33.70999908,17.10459752,15.98300028,8.246160047
0,1918,6,0,4.360000134,0.322536588,0,0.769512147
0,1918,7,0,15.30900002,0.708353662,0,2.559109973
0,1918,8,0,3.191999912,0.043524389,0,0.351200136
0,1918,9,99.16600037,111.9540024,102.4043418,101.2685013,2.781751996
0,1918,10,9.333000183,99.93599701,55.42903666,53.74099922,24.20609726
0,1918,11,62.79399872,147.6130066,102.9571828,99.37549973,23.2748072
0,1918,12,47.07500076,75.51200104,60.83608567,61.29049873,8.041372944
0,1919,1,47.98199844,129.6150055,84.43373168,84.18700027,19.82369056
0,1919,2,210.9049988,479.8940125,374.1229877,378.3170013,71.1078684
0,1919,3,72.00800323,197.1040039,131.7455732,131.7494965,29.97406858
0,1919,4,7.318999767,31.78800011,16.41017076,15.53849983,5.510211681
0,1919,5,0,11.94699955,4.002512199,2.503500104,4.014043113
0,1919,6,0,0,0,0,0
0,1919,7,0,0,0,0,0
0,1919,8,0,0,0,0,0
0,1919,9,14.25399971,58.30400085,35.52078053,35.55999947,11.50306349
0,1919,10,3.871999979,31.65399933,17.5411463,16.69649982,7.967573496
0,1919,11,4.80700016,38.36500168,19.63206102,18.5340004,8.667677148
0,1919,12,90.33699799,257.1199951,176.874573,179.1490021,40.818928
0,1920,1,9.770999908,56.13999939,31.94158538,31.95950031,12.37237061
0,1920,2,25.15600014,102.6279984,67.57346325,68.35549927,20.11123764
0,1920,3,148.8630066,425.0140076,284.8876335,291.2489929,69.02914288
0,1920,4,72.9980011,261.9190063,146.8057928,142.5094986,45.45926005
0,1920,5,0,4.434999943,0.500036583,0,0.79458776
0,1920,6,8.829999924,55.29100037,31.88573193,29.15200043,14.36493191
0,1920,7,0,14.56400013,0.749548778,0,2.535321976
0,1920,8,0.922999978,34.95199966,9.654073158,9.116499901,6.064251527
0,1920,9,0.254000008,19.06699944,5.986963417,5.373500109,4.099975424
0,1920,10,51.20700073,214.4669952,134.856927,135.2464981,44.23752541
