year,month,ave_discharge
2012,11,75.7
2012,12,1013
2013,1,297
2013,2,222.6
2013,3,301.9
2013,4,312.5
2013,5,101.1
2013,6,36.3
2013,7,13.4
2013,8,5.91
2013,9,8.8
2013,10,15.4
2013,11,22.8
2013,12,24.4
2014,1,23.5
2014,2,318.7
2014,3,356.6
2014,4,262.1
2014,5,88.2
2014,6,16.6
2014,7,2.11
2014,8,0
2014,9,0
2014,10,4.23
2014,11,20.3
2014,12,234.2
2015,1,57.7
2015,2,617.6
2015,3,88.5
2015,4,69.9
2015,5,51.5
2015,6,16.8
2015,7,2.67
2015,8,0.021
2015,9,0
2015,10,2.77
2015,11,26.2
2015,12,259.4
2016,1,771.3
2016,2,629.5
2016,3,2313
2016,4,656.8
2016,5,295
2016,6,78.5
2016,7,21.1
2016,8,7.18
2016,9,5.1
2016,10,105.4
2016,11,196.9
2016,12,1026
2017,1,5222
2017,2,7772
2017,3,2123
2017,4,2359
2017,5,996.3
2017,6,348.6
2017,7,83.5
2017,8,45.3
2017,9,40.1
2017,10,38
2017,11,162
2017,12,87.6
2018,1,353.5
2018,2,168.4
2018,3,2078
2018,4,1526
2018,5,322.6
2018,6,101.8
2018,7,39.3
2018,8,18.9
2018,9,15.8
2018,10,24.3
2018,11,50.4
2018,12,103.2
2019,1,779.7
2019,2,2830
2019,3,3298
2019,4,2088
2019,5,1441
2019,6,777
2019,7,146.9
2019,8,56.3
2019,9,44
2019,10,43.8
2019,11,41.9
2019,12,251.7
2020,1,159.7
2020,2,131.3
2020,3,529.2
2020,4,1066
2020,5,394.8
2020,6,101
2020,7,35.4
2020,8,16.5
2020,9,12.6
2020,10,13.4
2020,11,30.3
2020,12,42.1
2021,1,166.2
2021,2,216.2
2021,3,245.7
2021,4,194.8
2021,5,80.7
2021,6,18
2021,7,2.59
2021,8,0
2021,9,1.35
